חוק,כתובת,מספר מעסיק,סיבת הביקורת,סכום עיצום סופי,ענף,פרטים נוספים,שם מעסיק,תאריך החלטה
"חוק הגנת השכר תשי""ח-1958",סח'נין,,יזום,"17,850 ₪",חינוך,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-193-2021.pdf,מעון יום בראעם ואדי אלעין,12/10/2021
"חוק הגנת השכר תשי""ח-1958","טארק עבד אל-חי 1,טירה",514385004,פנייה,"17,850 ₪",היסעים והובלות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1185-3-2020.pdf,"מור שירותי הפצה ר.ח בע""מ",12/10/2021
"חוק הגנת השכר תשי""ח-1958","אופיר 1,חיפה",515603314,יזום,"57,120 ₪",תעשיות מתכת,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-560-2-2021.pdf,"נזאל מחזור בע""מ",12/10/2021
"חוק הגנת השכר תשי""ח-1958","ים המלח 13,חדרה",516080751,יזום,"17,850 ₪","תקשורת, הנדסה ומחשוב",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-589-2-2021.pdf,"תאיר אנרגיה בע""מ",12/10/2021
"חוק הגנת השכר תשי""ח-1958","אבן גבירול, תל אביב173,",,פנייה,"17,850 ₪",קוסמטיקה,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/5942021.pdf,סלון יוליה,11/10/2021
"חוק הגנת השכר תשי""ח-1958",דייר חנא,,יזום,"17,850 ₪",קבלני כוח אדם,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-326-2-2021.pdf,קבלן כוח אדם,11/10/2021
"חוק הגנת השכר תשי""ח-1958",פקיעין בוקייעה,515883890,יזום,"428,400 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-727-2-2021.pdf,"קנייה הכי טובה 76 בע""מ",11/10/2021
"חוק הגנת השכר תשי""ח-1958","דרך דיין משה 1,חיפה",515142776,פנייה,"749,700 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1075-2-2021.pdf,"מיתן ניהול ואחזקות 2014 בע""מ",11/10/2021
"חוק הגנת השכר תשי""ח-1958","אזור התעשיה עטרות, ירושלים,",515538536,יזום,"17,850 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/12692017.pdf,"אלנסר לבטון מוכן בע""מ",10/10/2021
"חוק הגנת השכר תשי""ח-1958","מונטיפיורי, פתח תקווה5,",514644178,יזום,"214,200 ₪",שיווק,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/3742019.pdf,דון סון דלישס רשת חנויות מזון וסיטונאות,10/10/2021
"חוק עבודת נשים תשי""ד-1954","הערער 1,פרדס חנה-כרכור",515392074,פנייה,"21,420 ₪",תחנות דלק ושרותי רכב,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/15-318-2020.pdf,"סדנת האלופים בע""מ",10/10/2021
"חוק הגנת השכר תשי""ח-1958","מאפו 4,חיפה",513263434,פנייה,"מחזור עסקאות
					      				 ",שרותי בריאות וסיעוד,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-665-2021.pdf,"קרת שירותי בריאות בע""מ",10/10/2021
"חוק הגנת השכר תשי""ח-1958","חצרים, תל אביב7,",,פנייה,"17,850 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/9252020.pdf,משרד הנהלת חשבונות צרפתי,10/10/2021
"חוק הגנת השכר תשי""ח-1958","הרצל 12,חדרה",511497687,פנייה,"17,850 ₪",תעשיות אחרות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-812-2020.pdf,"לורי גז בע""מ",10/10/2021
"חוק הגנת השכר תשי""ח-1958","דרך שועפאט, ירושלים1,",580595155,פנייה,"64,260 ₪",עמותות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/8712020.pdf,עמותת תעלם לקידום והכשרה אקדמאית,10/10/2021
"חוק הגנת השכר תשי""ח-1958",דייר אל-אסד,,פנייה,"21,420 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-974-2-2020.pdf,קונדיטורית דיר אל אסד,10/10/2021
"חוק הגנת השכר תשי""ח-1958",כסרא-סמיע,512886839,יזום,"17,850 ₪","שרותים מקצועיים, טכניים ואישיים",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-272-2-2021.pdf,"י.ע. מרכז הגליל בע""מ",10/10/2021
"חוק הגנת השכר תשי""ח-1958","טמרה,טמרה",,יזום,"107,100 ₪",שרותים אחרים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1006-2-2021.pdf,ו.א תשתיות וגינון,10/10/2021
"חוק הגנת השכר תשי""ח-1958","א. תעשיה מילואות מרכז נעמן, עכו,",513765925,פנייה,"28,560 ₪",משלוחים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/5362020-21.pdf,"ויי.די.אם פתרונות הפצה מתקדמים בע""מ",07/10/2021
"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956","א.תעשיה מילואות מרכז נעמן, עכו,",513765925,פנייה,"28,560 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/5362020-33.pdf,"ויי.די.אם פתרונות הפצה מתקדמים בע""מ",07/10/2021
"חוק הגנת השכר תשי""ח-1958","שוק סיטונאי, צריפין11,",512434903,פנייה,"17,850 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/23342019.pdf,"סלוקי בע""מ",07/10/2021
"חוק הגנת השכר תשי""ח-1958","דרך חברון, ירושלים41,",514756774,יזום,"35,700 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/5122021.pdf,"סופר 24 חברון בע""מ",05/10/2021
"חוק הגנת השכר תשי""ח-1958","הרימון, רינתה29,",515051092,פנייה,"142,800 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1222021.pdf,"אנדיב ש.א.נ. בע""מ",05/10/2021
"חוק הגנת השכר תשי""ח-1958","הש""ך, תל אביב4,",514439702,פנייה,"71,400 ₪",תעשיית עץ,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1352021.pdf,"רועי הנדסה יעוץ ופיתוח עסקי בע""מ",04/10/2021
"חוק הגנת השכר תשי""ח-1958","קריית מלאכי,",515105435,פנייה,"107,100 ₪",שרותים אחרים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/515.4.2021.pdf,"סימפלי פייפר בע""מ",04/10/2021
"חוק עבודת הנוער תשי""ג-1953","עראבה,",,יזום,"35,700 ₪",חקלאות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/4652021.pdf,חקלאות עראבה,04/10/2021
"חוק שכר מינימום תשמ""ז-1987","רחוב ראשי,יפיע",515458313,פנייה,"17,850 ₪",שיווק,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/19-562-2-2020.pdf,"תינקום בע""מ",03/10/2021
"חוק הגנת השכר תשי""ח-1958","יפו, ירושלים48,",514785583,פנייה,"107,100 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/8032021.pdf,"ק.ט.ע אווניו בע""מ",29/09/2021
"חוק הגנת השכר תשי""ח-1958","אורוגאוי, ירושלים6,",516101250,יזום,"107,100 ₪",תעשיות מזון,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/3312021.pdf,"ש.מ.א. ניהול ואפיה בע""מ",29/09/2021
"חוק הגנת השכר תשי""ח-1958","פקיעין,",510151335,יזום,"16,320 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/11872019-21.pdf,"שתדלן בע""מ",14/09/2021
"חוק הגנת השכר תשי""ח-1958","פקיעיןפקיעין,",510151335,יזום,"28,560 ₪
					      			סעיף 25א'",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/11872019.pdf,"שתדלן בע""מ",14/09/2021
"חוק שעות עבודה ומנוחה תשי""א-1951","הלל, ירושלים35,",514261585,פנייה,"16,320 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/226462015-9.pdf,"יבוק יזמות בע""מ",13/09/2021
"חוק הגנת השכר תשי""ח-1958","הלל, ירושלים35,",514261585,פנייה,"28,560 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/226462015-21.pdf,"יבוק יזמות בע""מ",13/09/2021
"חוק הגנת השכר תשי""ח-1958","סוקולוב 86,חולון",513446310,פנייה,"28,560 ₪",קבלני כוח אדם,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-972-3-2020.pdf,"אופוס שרותי כח אדם בע""מ",02/09/2021
"חוק הגנת השכר תשי""ח-1958",טמרה,,יזום,"17,850 ₪",שרותי בריאות וסיעוד,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-603-2-2021.pdf,רופא שיניים,01/09/2021
"חוק הגנת השכר תשי""ח-1958",דבוריה,,יזום,"17,850 ₪",קבלני כוח אדם,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-472-2-2021.pdf,כוח אדם,01/09/2021
"חוק הגנת השכר תשי""ח-1958","קדושי יאסי 2,חיפה",515409852,פנייה,"17,850 ₪",פעילות בידור פנאי וספורט,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1037-2-2021.pdf,"ווקאל בוקס בע""מ",01/09/2021
"חוק הגנת השכר תשי""ח-1958","דרך בגין מנחם 7,רמת גן",515727014,פנייה,"מחזור עסקאות
					      				 ",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-679-3-2020.pdf,"פי.וי ייעוץ טכנולוגי בע""מ",30/08/2021
"חוק הגנת השכר תשי""ח-1958","דוד נוי 6,עכו",514263730,יזום,"214,200 ₪",שרותי בריאות וסיעוד,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1039-2-2021.pdf,"קי.ג'י. מדיקל בע""מ",18/08/2021
"חוק הגנת השכר תשי""ח-1958","בן גוריון 22,הרצליה",515356699,פנייה,"17,850 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1087-3-2020.pdf,"אנד שייני אחזקות ושירותים בע""מ",17/08/2021
"חוק שעות עבודה ומנוחה תשי""א-1951","מרגנית, עומר39,",515211704,יזום,"28,560 ₪",מכירה קמעונאית,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/4822020.pdf,"מולאן תכשיטי זהב ויהלומים בע""מ",16/08/2021
"חוק הגנת השכר תשי""ח-1958","אלעד,אלעד",580660140,יזום,"21,420 ₪",עמותות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-348-3-2021.pdf,"מוסדות החינוך הטהור אלעד (ע""ר)",16/08/2021
"חוק שכר מינימום תשמ""ז-1987","דרך בגין מנחם 96,פתח תקווה",,פנייה,"71,400 ₪","תקשורת, הנדסה ומחשוב",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/19-1537-3-2021.pdf,מרכז הדיגיטל,16/08/2021
"חוק הגנת השכר תשי""ח-1958","שלמה באום, ירושלים4,",580418424,פנייה,"מחזור עסקאות
					      				 ",חינוך,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/12482018.pdf,"מקור חיים-גבע בנימין (ע""ר)",15/08/2021
"חוק הגנת השכר תשי""ח-1958","הארבעה 2,תל אביב - יפו",515232759,פנייה,"35,700 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-870-2-2021.pdf,"מעיין-אור ניהול ואחזקות בע""מ",15/08/2021
"חוק הגנת השכר תשי""ח-1958","אפרסמון 11,קרית ביאליק",,יזום,"214,200 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-829-2-2021.pdf,ש.ל שיפוצים,15/08/2021
"חוק שכר מינימום תשמ""ז-1987","ערערה בנגב,",515081677,פנייה,"71,400 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/3452020-19.pdf,"א.ע.נ הנתיב החדש בע""מ",11/08/2021
"חוק הגנת השכר תשי""ח-1958","ערערה בנגב,",515081677,פנייה,"35,700 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/3452020-21.pdf,"א.ע.נ הנתיב החדש בע""מ",11/08/2021
"חוק עבודת נשים תשי""ד-1954","יגיע כפיים, פתח תקווה17,",511402794,פנייה,"36,560 ₪","תקשורת, הנדסה ומחשוב",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/8572020.pdf,"וואן פוינט פתרונות קמעונאות (ניביט) בע""מ",11/08/2021
"חוק שכר מינימום תשמ""ז-1987","נהורה,",511743007,פנייה,"35,700 ₪",היסעים והובלות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/222.4.2021.pdf,"מטיילי נהורה בע""מ",10/08/2021
"חוק שעות עבודה ומנוחה תשי""א-1951","הרצל 82, רחובות,",,פנייה,"10,200 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1174.4.2021 . 9.pdf,מתוק מתוק,09/08/2021
"הודעה מוקדמת לפיטורין והתפטרות התשס""א 2001","הרצל 82, רחובות,",,פנייה,"40,800 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1174.4.2021 . 12.pdf,מתוק מתוק,09/08/2021
"חוק הגנת השכר תשי""ח-1958","הרצל 82, רחובות,",,פנייה,"40,800 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/1174.4.2021 . 21.pdf,מתוק מתוק,09/08/2021
"חוק הגנת השכר תשי""ח-1958","גרניט 15,כוכב יאיר",514207125,פנייה,"107,100 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-667-2-2021.pdf,"אניפט בע""מ",08/08/2021
"חוק הגנת השכר תשי""ח-1958","שכ 36 223 תל שבע,",,יזום,"21,420 ₪",גינון ותחזוקה לבניינים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/237.4.2020.pdf,איסוף פסולת,07/08/2021
"חוק הגנת השכר תשי""ח-1958
צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956","אצ""ל 44,תל אביב - יפו",514683176,יזום,"57,120 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21+33-723-3-2021.pdf,"טורוס אשר בע""מ",05/08/2021
"חוק הגנת השכר תשי""ח-1958","הזית 1,טירת כרמל",515847218,פנייה,"מחזור עסקאות
					      				 ",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-706-2020.pdf,"י.מ. קלינטק בע""מ",04/08/2021
"חוק הגנת השכר תשי""ח-1958","פיק""א 35,חיפה",,יזום,"מחזור עסקאות
					      				 ",משלוחים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-666-2021.pdf,הובלת מטענים בדרכים,04/08/2021
"חוק הגנת השכר תשי""ח-1958","רגבים 0,ניצני עוז",515979029,יזום,"71,400 ₪",שרותי ניקיון,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-156-2021.pdf,"ש. סרנדיפיטי בע""מ",04/08/2021
"חוק הגנת השכר תשי""ח-1958","העצמון 23,חולון",,יזום,"17,850 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1170-3-2020.pdf,אר. אס שרותי ניקיון,03/08/2021
"חוק הגנת השכר תשי""ח-1958","אלשאפעי 70, רנט,",,פנייה,"214,200 ₪",אחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/374.4.2021.pdf,ק.ר שיפוצים ואינסטלציה,03/08/2021
"חוק הגנת השכר תשי""ח-1958","אבו בכר אלסדיק 46, רהט,",514226174,יזום,"107,100 ₪",בניין,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/608.4.2021.pdf,"א.ת. אלעוברה תשתיות בע""מ",03/08/2021
"חוק הגנת השכר תשי""ח-1958","רח' 6060,נצרת",513126037,יזום,"17,850 ₪","תקשורת, הנדסה ומחשוב",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-450-2020.pdf,"לין מחשבים בע""מ",01/08/2021
"חוק הגנת השכר תשי""ח-1958","הפרדס26,רמת השרון",512458605,יזום,"17,850 ₪",קבלני כוח אדם,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-2525-2018.pdf,"ר.ר. נ נופר שרותים בע""מ",25/07/2021
"חוק הגנת השכר תשי""ח-1958","אגודת בית""ר, ירושלים1,",515208718,פנייה,"142,800 ₪",קוסמטיקה,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/11592020.pdf,"י.מ ספר הספא שלי בע""מ",22/07/2021
"חוק הגנת השכר תשי""ח-1958","שח""ל 41, באר-שבע,",514161744,יזום,"107,100 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/90.4.2021.pdf,"נור הדרום בע""מ",21/07/2021
"חוק הגנת השכר תשי""ח-1958","גבעת ישעיהו128,",515882223,פנייה,"17,850 ₪",מקצועות חופשיים,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/6912020.pdf,"רובד גיאולוגיה ויעוץ חברתי בע""מ",19/07/2021
"חוק הגנת השכר תשי""ח-1958","כרמיאל205,",,פנייה,"מחזור עסקאות
					      				 ",היסעים והובלות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/16632019.pdf,א.ס הסעות,18/07/2021
"חוק הגנת השכר תשי""ח-1958","ירמיהו, ירושלים23,",,יזום,"17,850 ₪",תעשיית עץ,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/5782020.pdf,מרכז שולחן וכיסא,18/07/2021
"צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956",סח'נין,513791673,פנייה,"107,100 ₪",חינוך,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/33-459-2-2021.pdf,"ט.ע.מ. גני ילדים (2006) בע""מ",18/07/2021
"חוק הגנת השכר תשי""ח-1958","נחלים 1,נחלים",512656026,פנייה,"17,850 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-999-3-2020.pdf,"מ.ט.ר כלי גינון ובנין בע""מ",15/07/2021
"חוק הגנת השכר תשי""ח-1958
חוק שכר מינימום תשמ""ז-1987
צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956","נחשון12,פתח תקווה",512236720,פנייה,"107,100 ₪",תחנות דלק ושרותי רכב,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/19+21+33-352-3-2021.pdf,"ש.י אמריקן אוטו בע""מ",13/07/2021
"חוק הגנת השכר תשי""ח-1958","אתגר5,טירת כרמל",511151367,פנייה,"17,850 ₪",שיווק,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-89-2-2020.pdf,"נופש חלומי בע""מ",11/07/2021
"חוק הגנת השכר תשי""ח-1958","היוזמים 13,אור יהודה",513777854,פנייה,"17,850 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-667-3-2020.pdf,"ס.ל.ע. יזמות מקבוצת ליאור אחזקות בע""מ",11/07/2021
